project_id|sector|ward|project_name|approval_status|reason_not_approved|year|source_document|source_url
CDF2025-020|Education|Kashiba|Construction of 1x3 CRB at Ikula Community School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-021|Education|Kashiba|Construction of 1x3 CRB at Water Affairs Community School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-022|Education|Kashiba|Construction of 1 staff house at Chinampanga Community School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-023|Health|Kashiba|Construction of 1 staff house at Mfulabunga Clinic|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-024|Education|Luswishi|Construction of 1x3 CRB and 2 staff houses at Luswishi Primary School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-025||Luswishi|Construction of Luswishi Market in the ward|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-026|Education|Luswishi|Construction of 1x3 CRB and 1 staff house at Mayewe Community School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-027|Education|Luswishi|Construction of 1x3 CRB and 1 staff house at Kalabi Community School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-028|Health|Luswishi|Construction of maternity wing at Luswishi Health post|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-029|Education|Mpongwe Central|Construction of Mpongwe Central Secondary School|Not Approved|Not the first priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-030|Information|Mpongwe Central|Construction of M.B.A Community Radio Station studio with furniture,eqiupm ent and other items needed|Not Approved|Not a priority|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-031|Local Government|Mpongwe Central|Construction of Parliamentary Constituency Office|Approved||2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-032|Health|Mpongwe Central|Construction of Mothers waiting shelter at Mpongwe Mission Hospital|Not Approved|Not the first priority; hospital was funded in the previous year with medical equipment|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-033||Mpongwe Central|Procurement of motor bikes and bicyles for WDCs|Partially Approved|Motor bikes not approved; bicycles approved instead|2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-034|Transport|Mpongwe Central|Procurement a roller compactor|Approved||2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
CDF2025-035|Education|Mpongwe Central|Construction of Ablution blocks and water reticulation at Buni Primary School|Approved||2025|Mpongwe 2025 Approved and Unapproved CDF Community Projects|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/APPROVED-AND-UNAPPROVED-COMMUNITY-PROJECTS-2025.pdf
