procurement_id|year|procurement_class|unspsc|description|reference_number|unit_of_measure|quantity|source_of_funds|procurement_method|publication_date|award_date|start_date|estimated_budget_zmw|comments|source_document|source_url
APP2025-054|2025|goods|44120000|||no|1.0|Local Revenue|sb|2025-09-30|2025-10-01|2025-10-03|100000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-055|2025|works|72130000|||no|1.0|Local Revenue|sb|2025-10-06|2025-10-16|2025-10-20|900000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-056|2025|goods|14000000|||no|1.0|Local Revenue|sb|2025-10-15|2025-10-20|2025-10-21|100000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-057|2025|goods|15000000|||no|1.0|Local Revenue|sb|2025-10-28|2025-10-30|2025-11-03|150000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-058|2025|goods|77100000|||no|1.0|Local Revenue|obn|2025-11-12|2025-12-18|2025-12-26|1500000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-059|2025|goods|71120000|||no|1.0|Local Revenue|sb|2025-11-18|2025-11-20|2025-11-24|900000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-060|2025|goods|10000000|||no|1.0|Local Revenue|sb|2025-11-27|2025-11-28|2025-12-01|80000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-061|2025|goods|46180000|||no|1.0|Local Revenue|sb|2025-12-10|2025-12-19|2025-12-12|150000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-062|2025|goods|60104904|||no|1.0|Local Revenue|sb|2025-12-29|2025-12-30|2025-12-31|100000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-063|2025|works|72130000|||tnioon|1.0|GRZ/CDF|sb|2025-07-04|2025-04-10|2025-04-11|860000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-064|2025|works|72130000|||no|1.0|GRZ/CDF|sb|2025-04-07|2025-04-25|2025-04-30|550000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-065|2025|works|72130000|||no|1.0|GRZ/CDF|sb|2025-04-07|2025-04-25|2025-04-30|400000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-066|2025|works|72130000|||nscoh|1.0|GRZ/CDF|obn|2025-04-07|2025-06-20|2025-06-25|1100000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-067|2025|works|72130000|||no|1.0|GRZ/CDF|obn|2025-04-07|2025-06-20|2025-06-25|2350000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-068|2025|works|72130000|||no|1.0|GRZ/CDF|obn|2025-04-07|2025-06-20|2025-06-25|1400000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-069|2025|works|72130000|||no|1.0|GRZ/CDF|sb|2025-04-07|2025-04-25|2025-04-30|680000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-070|2025|works|72130000|||hnoowa health|1.0|GRZ/CDF|obn|2025-04-07|2025-06-20|2025-06-25|1210000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-071|2025|works|72130000|||no|1.0|GRZ/CDF|obn|2025-04-07|2025-06-20|2025-06-25|2100000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-072|2025|works|72130000|||no|1.0|GRZ/CDF|obn|2025-04-07|2025-06-20|2025-06-25|1100000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
APP2025-073|2025|goods|44120000|||no|1.0|GRZ/CDF|obn|2025-04-07|2025-06-20|2025-06-25|2000000.0||mpongwe_procurement_plan_2025.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/12/ANNUAL-PROCUREMENT-PLAN-2025.pdf
