financial_record_id|year|document_type|category|budgeted_amount|actual_amount|variance|revenue_or_expenditure|currency|source_document|source_url
MPONGWE-FIN-2024-021|2024|audited_financial_statement_budget_actual|Fees and Charges|1885278|6594238|4708960|revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-022|2024|audited_financial_statement_budget_actual|Licences|39138|59991|20853|revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-023|2024|audited_financial_statement_budget_actual|Levies|3192814|3735670|542856|revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-024|2024|audited_financial_statement_budget_actual|Permits|344429|322821|-21608|revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-025|2024|audited_financial_statement_budget_actual|Local Government Equalisation Fund|10523340|10321794|-201546|revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-026|2024|audited_financial_statement_budget_actual|Constituency Development Fund|30635642|22775159|-7860483|revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-027|2024|audited_financial_statement_budget_actual|Other Grants|5262990|3294737|-1968253|revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-028|2024|audited_financial_statement_budget_actual|Borrowings||||revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-029|2024|audited_financial_statement_budget_actual|Commercial Venture||||revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-030|2024|audited_financial_statement_budget_actual|Sector Grants|20891119|13522357|-7368762|revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-031|2024|audited_financial_statement_budget_actual|Other Receipts|2225872|764251|-1461621|revenue|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-032|2024|audited_financial_statement_budget_actual|Personal Emoluments|15027792|13218930|1808862|expenditure|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-033|2024|audited_financial_statement_budget_actual|Use of Goods and Services|22692375|10592329|12100046|expenditure|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-034|2024|audited_financial_statement_budget_actual|Financial Charges||||expenditure|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-035|2024|audited_financial_statement_budget_actual|Social benefits|8149081|9293746|-1144665|expenditure|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-036|2024|audited_financial_statement_budget_actual|Non-financial assets acquisition|16589200|30359117|-13769917|expenditure|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-037|2024|audited_financial_statement_budget_actual|Financial Assets|3492463|2642463|850000|expenditure|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-038|2024|audited_financial_statement_budget_actual|Loan Repayments||||expenditure|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
MPONGWE-FIN-2024-039|2024|audited_financial_statement_budget_actual|Other Payments|9893379|4301769|5591610|expenditure|Kwacha|mpongwe_financial_statements_2024.pdf|http://www.mpongwecouncil.gov.zm/wp-content/uploads/2025/11/FINANCIAL-REPORT-2025.pdf
